lfc_F,lfc_M,symbol
2.5741140220512606,-0.05097011081697947,SLC31A2
2.745896960321678,-0.7580545994441938,ITPRIPL2
2.596078309308091,-0.24383950603797303,TSPAN4
3.943667585697737,0.08268074555540358,MSR1
2.629001044195988,0.035915086217738645,PFKFB4
3.8573678037769668,-1.887469049781031,RPGRIP1
2.6290823976091504,-0.16500369067994422,GNB4
1.9429670431418784,-0.9823608011934497,CTSL
2.7258563174186032,0.12994686514420145,ABCC3
2.4186778803946187,-0.1781631011146083,ARAP3
2.692254018214971,-0.5531375497328187,TESC
5.13199979759536,-0.06969701236843759,GPER1
2.365775101963016,0.4942354743460546,KRT73
2.122705866910928,0.6016924675989371,HVCN1
3.9123569087519336,0.19507098839750325,PRLR
6.176877435563748,1.449552276366931,AC131056.3
2.938792276485703,0.7582274066846756,CEACAM4
2.4571437778951735,0.16979159550776313,ADRBK2
3.1433002885891392,-0.7246507111852944,PRRG4
3.2332446662374794,-0.48997151923786086,TNFRSF10C
2.8365457793607334,-0.8361698829675611,TMTC1
2.5703607903677974,0.14346863648213937,SMCO4
2.549080977101532,-0.49490894897927,ARSD
2.5870129992170314,-0.328186174838517,JDP2
1.4510423004211188,0.12858749193608945,SLC22A18
2.066467774462491,-0.37320888420542264,NOD2
2.5001837863650525,0.14657930871829788,PECAM1
2.33200044187533,0.0837897896807582,NLN
3.7469398340281495,0.4380807031163005,LIPN
3.728741228951182,-1.4613193129338966,PRUNE2
-1.793834066147612,0.017238984599643827,XXbac-BPG246D15.9
1.9835034461790175,-0.342799851502876,SIPA1L2
3.920551755262797,-3.556659579754757,MPO
4.376707229994141,-0.9623390941823247,ZDHHC1
1.7727793081765384,0.8883401932058491,XXbac-BPG181B23.7
2.1282883221987543,-0.570993804875172,DENND3
2.352393479081405,0.09740301995058698,GPX1
2.174654576510018,0.029846409994137846,NPC2
3.600671875489901,0.08564026050654781,MRAS
3.6058129539013115,0.5084782396588787,MRVI1
1.8684138699310124,0.5699153229301046,MPZL1
2.504170634696507,-0.32255772277492045,ZBTB47
2.1123759092900043,-0.05949970423743236,TKT
4.360982951198646,-0.2871613330958675,ADARB2
2.817933880318311,0.4772719106170826,ARL11
2.108290869508244,-0.01582542070022423,IFNGR1
3.835195824764352,-1.0165879190543192,RAB39A
1.8166696719950153,-0.6642170850485948,GAS6-AS1
-3.7566605525202625,1.492655056878537,RP11-511P7.6
-2.965004213819563,-0.33659407969476685,RP3-508I15.16
3.986326098753987,-0.7814620131285545,CLEC12B
2.0762409689440164,0.06083246158851262,ATP6V1B2
2.2881140811404537,0.6803559935375724,EPHB3
2.2870142235030455,0.0008970323322367532,TBXAS1
1.8980583580753623,-0.8463127820117275,TP53I11
2.010840637333251,0.15377958728826613,BACH1
3.6636683401667014,0.07006086590259838,MYO7B
-1.401586417868143,-0.46014859927728685,HIST2H3C
2.2660436101275367,-0.047555859114652085,PRKCD
2.3159910706984337,-0.5585624932348396,ADAP1
1.9447703602588564,0.08442976534364155,LTA4H
-1.7342837552157702,-0.05251428693950152,TRGV10
2.8285501425515376,-1.087323346780992,ST6GALNAC2
2.0656621945997538,-0.3648094457550755,DAGLA
-2.3886476278379303,-0.30507529709482856,AL109767.1
2.5177191272417696,-0.4563281676067462,BCL2L2
2.1209286630170117,-0.1678462625433733,BTBD3
2.0055933555172007,0.1938563519122158,BRI3
1.6888164519973354,0.018334548653525778,DLG4
1.9979706287814758,-0.002478214981191765,FTL
2.0656073477263948,-0.10529792954914158,GAA
2.1005021178645613,-0.11359651310993628,NAGA
2.6093526173982533,-3.8181998086660203,CMKLR1
3.720745851448686,0.9932392758021251,CDC42EP1
2.2598363182457555,0.12305068892580537,PLXND1
3.6038721695462996,0.03585391636217995,PLA2G4A
3.32084698862527,0.2683665658667033,IGFBP7
2.331576671742034,0.10430446673058541,CTNND1
2.229272804448234,1.3389245074684306,TRIB1
2.9966632446842008,-2.5429627683979046,PROK2
-1.866086123274064,0.22156412972424608,AL132780.10
1.9725634314758838,-0.03997742205770649,GSTP1
3.216389488130434,0.027544688444932214,OSGIN1
2.1543703560909075,-0.3455012181381945,PDLIM7
3.0221232845536603,0.04340260118533451,GAB1
2.406772304802414,0.10470622422245096,TRIO
2.475074156839342,-0.34259653506960014,FMO5
2.2282396467789507,0.014073346030853178,ACSL1
1.5701609960533587,-0.030496449155226205,PTPN12
3.808255515640622,0.1269189957796642,AP003774.6
-1.509821383693648,-0.09643352996799975,ANKRD30BL
1.9664519963422353,-0.11645854973210032,ROGDI
-2.4415097556486285,-2.995027555419129,RP1-153P14.7
3.348151976053635,0.6765527686285253,MS4A14
5.045646390669001,-1.2146866934150973,TUSC1
2.630960352759702,-0.21376115214954902,MILR1
2.4749962737750755,-0.17427907356398267,FHL3
2.2298167593132026,-1.361604219774278,CHN2
2.3952506085578027,-0.7498628643182934,FCAR
1.708232846206666,0.22933456296720336,ACSS2
3.874736367357513,1.3292554692348142,GGTA1P
1.9081727387413148,0.6004643352900566,HK2
1.9128659767789908,-0.08913850952482975,GM2A
-1.6013673354576845,-0.5959601552987199,AC116366.6
2.8665385570486417,-0.19840964291875246,PHACTR1
2.634397912287399,0.3197466002642617,OPLAH
2.14468430573494,0.21609521285891947,SNX10
2.43933539734065,0.05808157773207348,TRPM2
2.0634995392565543,0.010235428361642821,RHOQ
3.585135615403581,-0.7220389361772612,KMO
2.1725653941107415,-0.4508075247164682,CTSH
1.649256165587469,-0.43603499890856595,CR1
2.253355455065365,0.2638661178388675,KRT72
4.188602268963811,0.5387466913890055,AP003774.4
3.7547937533528994,0.7087965701669812,CTB-61M7.2
2.284139879872449,-0.2512608246032425,GNA15
3.5882833865159856,-0.6094926802532205,PTX3
2.4020376545008384,-0.3232547696314063,SKAP2
3.245990259295193,-0.9142016468304397,AC018633.4
-2.720821395275982,-1.5981778532593571,TRGV5
2.2341384424625588,0.23646102884351533,DRAM1
